window,start_candle,end_candle,net_profit,win_rate,sharpe,max_dd,trades
239,23900,24400,-384.71033154999895,0.0,0.0,0.38471033154999895,1
240,24000,24500,-272.1584338774992,50.0,-8.236634244667778,0.398345396980003,2
241,24100,24600,-289.46656580751005,50.0,-8.480612548722567,0.41565352891001384,2
242,24200,24700,-280.9293373475084,50.0,-8.362249549937003,0.4071163004500122,2
243,24300,24800,126.1869631025038,100.0,0.0,0.0,1
244,24400,24900,-142.6973129500111,50.0,-4.53134803737934,0.3213018269500026,2
245,24500,25000,222.6275519899791,100.0,26.259949958320487,0.0,2
246,24600,25100,246.90463852997345,100.0,35.53339668008005,0.0,2
247,24700,25200,-334.9990778800129,50.0,-7.682581945899214,0.5126879081333461,2
248,24800,25300,-245.31221941999684,50.0,-4.980478113439384,0.512229324794371,2
249,24900,25400,-373.5229284199886,50.0,-9.070881877666062,0.512885138974541,2
250,25000,25500,-388.20517590285453,50.0,-8.38108792784211,0.5607765370584595,2
251,25100,25600,219.04408394249913,100.0,722.858747453029,0.0,2
252,25200,25700,-286.76044935749087,50.0,-9.086295470086492,0.3938773070199968,2
253,25300,25800,-226.38893133748206,50.0,-8.156214617204713,0.333505788999988,2
254,25400,25900,107.11685766250594,100.0,0.0,0.0,1
255,25500,26000,-256.47112320036103,50.0,-7.98976616760558,0.3825369443108448,2
256,25600,26100,-205.69888236286351,50.0,-5.8274437654439675,0.3823430655222468,2
257,25700,26200,-372.5314060128585,50.0,-15.028188535949766,0.38298087120394797,2
258,25800,26300,-383.0210445128614,0.0,0.0,0.3830210445128614,1
259,25900,26400,381.12012332250015,100.0,165.17470287780046,0.0,2
260,26000,26500,-225.3165883099864,50.0,-5.62801103745335,0.4304250797699788,2
261,26100,26600,-267.2198721685709,50.0,-6.261814560178295,0.4723283636285633,2
262,26200,26700,94.22538707000786,50.0,4.623413969765906,0.11440992984152339,2
263,26300,26800,-719.1192863985634,0.0,-392.1997048706612,0.7191192863985634,2
264,26400,26900,-720.1636397428374,0.0,-379.16481610293624,0.7201636397428374,2
265,26500,27000,-715.2635498385644,0.0,-449.66313870715857,0.7152635498385643,2
266,26600,27100,-100.69444224105973,50.0,-3.435026079117706,0.28302008569857573,2
267,26700,27200,-156.9815642578469,50.0,-4.8409001760991455,0.3358814518428553,2
268,26800,27300,-195.74974683928303,50.0,-5.613645703755537,0.37464963442429144,2
269,26900,27400,158.04307821752445,50.0,12.143061034256325,0.024238372471419384,2
270,27000,27500,-16.254519714275375,50.0,-0.3323311265674025,0.3963432294742815,2
271,27100,27600,23.55722783000965,50.0,0.5076692204700798,0.3565314819299965,2
272,27200,27700,16.46578887999931,50.0,0.3514618897071822,0.36362292088000686,2
273,27300,27800,106.06441619999532,100.0,0.0,0.0,1
274,27400,27900,-615.1962260771397,0.0,-3415.118493177484,0.6151962260771398,2
275,27500,28000,-270.19632465715404,50.0,-12.5364767031584,0.3060582084028801,2
276,27600,28100,-637.488594717157,0.0,-402.34664168693536,0.637488594717157,2
277,27700,28200,-306.16830359715095,0.0,0.0,0.30616830359715097,1
278,27800,28300,-704.7424681028642,0.0,-129.45696671853258,0.7047424681028642,2
279,27900,28400,-634.0507084714482,0.0,-64.0649522539538,0.6340507084714482,2
280,28000,28500,-395.58034105144907,0.0,0.0,0.395580341051449,1
281,28100,28600,-696.2064025114523,0.0,-116.39216326899373,0.6962064025114523,2
282,28200,28700,-209.15587979002157,50.0,-8.305271321309217,0.3041759402711244,2
283,28300,28800,-591.8990355742862,0.0,-1004.5993957962535,0.5918990355742862,2
284,28400,28900,-746.8434534042899,0.0,-85.96636638860666,0.7468434534042899,2
285,28500,29000,-813.0362704257277,0.0,-179.96015304539475,0.8130362704257278,2
286,28600,29100,-698.2717551642854,0.0,-59.44077291895079,0.6982717551642854,2
287,28700,29200,-749.7586153642915,0.0,-88.16555260962967,0.7497586153642914,2
288,28800,29300,-318.724794882859,50.0,-8.190162939193998,0.4675460199650902,2
289,28900,29400,-909.4044832285581,0.0,-532.9876559493952,0.9094044832285582,2
290,29000,29500,-838.0983830828627,0.0,-135.21856617971656,0.8380983830828628,2
291,29100,29600,-389.87027466035215,50.0,-11.322307405019366,0.46787839732401304,2
292,29200,29700,82.2262347950018,100.0,0.0,0.0,1
293,29300,29800,-650.4836887357233,0.0,-141.71235999641408,0.6504836887357233,2
294,29400,29900,-604.093567317148,0.0,-362.19548640779135,0.6040935673171479,2
295,29500,30000,-621.6937950428546,0.0,-223.90661974820253,0.6216937950428546,2
296,29600,30100,-602.0735664928798,0.0,-390.8000358002639,0.6020735664928798,2
297,29700,30200,-599.4355600643175,0.0,-351.20499880784246,0.5994355600643175,2
298,29800,30300,-615.8637146643159,0.0,-916.5725525513149,0.6158637146643159,2
299,29900,30400,-313.2650594643055,0.0,0.0,0.3132650594643055,1
300,30000,30500,-280.38411458001065,50.0,-10.931196985354354,0.34356401885897414,2
301,30100,30600,-318.1765712599881,50.0,-13.67372228462871,0.34369382690428274,2
302,30200,30700,-672.4100730799837,0.0,-704.3994405824245,0.6724100730799837,2
303,30300,30800,-514.057575259998,0.0,-47.03241951445497,0.514057575259998,2
304,30400,30900,-239.06953391713614,50.0,-10.71899787310917,0.29656209925713484,2
305,30500,31000,-254.81393540999852,50.0,-10.938496586539973,0.3123065007499972,2
306,30600,31100,-225.73478468001122,50.0,-10.51722677065613,0.28322735002000987,2
307,30700,31200,79.98111669000355,100.0,145.90995230749922,0.0,2
308,30800,31300,22.50149773499288,50.0,7.322985921622558,0.013138223515008577,2
309,30900,31400,-302.22535200428683,50.0,-12.845025816016754,0.33786507325428833,2
310,31000,31500,165.0960254699894,100.0,27.93555331120296,0.0,2
311,31100,31600,-947.8980700071552,0.0,-59.76340006980096,0.9478980700071552,2
312,31200,31700,-908.525542117146,0.0,-49.53500280212933,0.9085255421171459,2
313,31300,31800,-930.1498664871469,0.0,-54.782765673679314,0.9301498664871468,2
314,31400,31900,-899.4655356171425,0.0,-47.56105313656455,0.8994655356171425,2
315,31500,32000,204.6713144803507,50.0,3.278586889107625,0.3931608023071458,2
316,31600,32100,619.2777426274988,100.0,17.05579424781219,0.0,2
317,31700,32200,685.9107121625129,100.0,21.360313442646504,0.0,2
318,31800,32300,-178.20671057858272,50.0,-4.567574588438358,0.3987801623285777,2
319,31900,32400,169.16253973857965,50.0,2.6472042356045185,0.42262781352143797,2
320,32000,32500,236.86758011001803,50.0,3.9718011284024373,0.35492277314999954,2
321,32100,32600,776.7496147200145,100.0,28.869214543818885,0.0,2
322,32200,32700,-565.0302921300026,0.0,-45.51351640534498,0.5650302921300027,2
323,32300,32800,-717.1854189099977,0.0,-117.27995523241194,0.7171854189099978,2
324,32400,32900,-401.7784974999813,50.0,-15.462578485992896,0.40710848128513827,2
325,32500,33000,-279.5416805949935,50.0,-8.298915494478337,0.406611478954522,2
326,32600,33100,-213.60360764570942,50.0,-5.984366367992816,0.38942364672939983,2
327,32700,33200,-149.73416693320905,50.0,-3.770026991340533,0.38917552046231496,2
328,32800,33300,-203.4859091557155,50.0,-5.600895494588763,0.38938431941361706,2
329,32900,33400,-489.07252656573837,0.0,-26.6659772271953,0.48907252656573835,2
330,33000,33500,-415.3604650878551,50.0,-12.376438555489296,0.47378098092127297,2
331,33100,33600,-886.5436519357027,0.0,-228.5595594027998,0.8865436519357027,2
332,33200,33700,-797.0592971571459,0.0,-83.76154305570206,0.7970592971571459,2
333,33300,33800,-406.9808400956972,50.0,-13.593634965783313,0.44112445111571286,2
334,33400,33900,113.00363987001765,100.0,40.11674586428137,0.0,2
335,33500,34000,-316.2846533914126,50.0,-13.055721281352145,0.3504282644114282,2
336,33600,34100,-327.2388428099948,50.0,-13.133788253233556,0.3613824538300105,2
337,33700,34200,-437.8730345600052,0.0,-16.08033187788756,0.4378730345600052,2
338,33800,34300,-766.5875836400082,0.0,-117.51570267202726,0.7665875836400082,2
339,33900,34400,-784.8096217200073,0.0,-146.00029856739945,0.7848096217200072,2
340,34000,34500,-435.0707048200129,0.0,0.0,0.4350707048200129,1
341,34100,34600,-619.3825807600078,0.0,-532.8187650241866,0.6193825807600079,2
342,34200,34700,-725.3214427771454,0.0,-279.17439336979,0.7253214427771455,2
343,34300,34800,-695.8574024342961,0.0,-937.76976928058,0.6958574024342962,2
344,34400,34900,-342.0389859743009,0.0,0.0,0.3420389859743009,1
345,34500,35000,-481.6803605299792,0.0,-86.12720833342652,0.48168036052997926,2
346,34600,35100,205.1349464800005,50.0,12.12929468736904,0.03167018877998635,2
347,34700,35200,210.92033334248117,50.0,12.746040167362974,0.02588480191750568,2
348,34800,35300,236.80513525998686,100.0,0.0,0.0,1
349,34900,35400,-662.0014986699825,0.0,-120.21596332822821,0.6620014986699826,2
